id,name:ja,name:en,icon,color,nickname,self-introduction:ja,self-introduction:en,a-little-word:ja,a-little-word:en,routing-pattern,routing-comment
1,lilian,lilian,img/npc/avataaars_01_KOL.png,#E96117,Office Worker Looking for a Wedding Ring,新婚,newlywed,結婚指輪行脚中,Wedding ring pilgrimage,restaurant,
2,yasutaka_work,yasutaka_work,img/npc/avataaars_02_FOP.png,#6EA3E1,Cheating Music Producer,音楽プロデューサー,Music producer,不倫旅行中,During an affair trip,restaurant,
3,taro.official,taro.official,img/npc/avataaars_03_KSB.png,#EA6DB1,Horse Racing Blogger,Webブロガー,Web blogger,競馬の予想当たるといいな,I hope my horse racing predictions are correct.,restaurant,
4,ladies_night,ladies_night,img/npc/avataaars_04_HOL.png,#D7562B,Bar-Hopping Office Worker,酒好きなOL,I love hopping from bar to bar.,I love bar hopping.,restaurant,
5,first_love,first_love,img/npc/avataaars_05_KJK.png,#2A9D8F,Crushy High School Girl,青春な女子高生,I have a crush on someone.,I have a crush.,restaurant,
6,saboten,saboten,img/npc/avataaars_06_SEG.png,#EA6DB1,Slacker Salesman,怠け者の営業,I tend to slack off at work.,I often take breaks.,restaurant,
7,busy_mom,busy_mom,img/npc/avataaars_07_IMO.png,#F4A261,Busy Mom,多忙なママ,忙しい日々,I lead a busy life as a mom.,Being a mom is busy.,restaurant,
8,retired_public,retired_public,img/npc/avataaars_08_TKO.png,#F9C74F,Retiring Civil Servant,定年退職者,I am retiring soon from public service.,I will retire soon.,restaurant,
9,idol_otaku,idol_otaku,img/npc/avataaars_09_IDL.png,#F3722C,Pop Idol Fanatic,アイドルファン,アイドルが大好き,I love idols.,I am an idol fan.,restaurant,
10,bookworm,bookworm,img/npc/avataaars_10_DSH.png,#90BE6D,Bookworm Kid,読書大好き,I love reading books.,I am a book lover.,restaurant,
11,young_researcher,young_researcher,img/npc/avataaars_11_KSH.png,#F94144,Curious Young Student,研究好き,I love researching new things.,I am curious about everything.,restaurant,
12,bank_office,bank_office,img/npc/avataaars_12_GOL.png,#264653,Bank Clerk Office Worker,銀行OL,銀行で働いています,I work at a bank.,I work in a bank.,restaurant,
13,promo_lover,promo_lover,img/npc/avataaars_13_POL.png,#E9C46A,Promotion-Loving Office Worker,プロモーション好き,I love promotions.,I enjoy promotions.,restaurant,
14,solo_life,solo_life,img/npc/avataaars_14_HSS.png,#6EA3E1,Happy-to-be-Alone Housewife,専業主婦,一人の時間が好き,I enjoy my alone time.,I love being alone.,restaurant,
15,girls_gathering,girls_gathering,img/npc/avataaars_15_JJS.png,#D7562B,Girls’ Night Out HR Officer,女子会好き,I love girls' gatherings.,I enjoy girls' night out.,restaurant,
16,youtuber,youtuber,img/npc/avataaars_16_NYT.png,#F4A261,Content-Hungry YouTuber,YouTuber,新しいネタを探している,I am always looking for new content.,I need new content.,restaurant,
17,healthy_designer,healthy_designer,img/npc/avataaars_17_KDN.png,#F9C74F,Health-Conscious Designer,健康志向のデザイナー,I prioritize health in my life.,Health is my priority.,restaurant,
18,grandpa,grandpa,img/npc/avataaars_18_NOJ.png,#F3722C,Retired Grandpa,年金生活者,I live on pension.,I live on my pension.,restaurant,
19,chef,chef,img/npc/avataaars_19_TSF.png,#90BE6D,Discount-Day Chef,特売日が大好き,I love sales days.,Sales days are important to me.,restaurant,
20,teacher,teacher,img/npc/avataaars_20_SSS.png,#2A9D8F,Elementary School Teacher,教師,教えるのが好き,I love teaching.,I enjoy teaching.,restaurant,
21,nursery_kid,nursery_kid,img/npc/avataaars_21_HYO.png,#EA6DB1,Runny-Nosed Kindergartner,幼稚園児,毎日楽しい,I have fun every day.,Every day is fun.,restaurant,
22,license_holder,license_holder,img/npc/avataaars_22_MCJ.png,#F94144,Driver’s License Student & Cafe Regular,カフェ好き,I love cafes.,I am a cafe lover.,restaurant,
23,grandpa_horse,grandpa_horse,img/npc/avataaars_23_KOJ.png,#F4A261,Grandpa the Horse Race Gambler,競馬好き,I love horse racing.,I enjoy horse racing.,restaurant,
24,traffic_guard,traffic_guard,img/npc/avataaars_24_HBN.png,#F9C74F,Guardian of Pedestrian Street,交通警備,I guard the pedestrian zone.,I watch over the pedestrian zone.,restaurant,
25,amazon_addict,amazon_addict,img/npc/avataaars_25_AIF.png,#F3722C,Amazon-Addicted Rebel,不良,I am addicted to Amazon.,I can't stop using Amazon.,restaurant,
26,taichi_lover,taichi_lover,img/npc/avataaars_26_KAI.png,#90BE6D,Tai Chi Enthusiast,太極拳愛好者,I prioritize health above all.,Health comes first.,restaurant,
27,yakyu_dad,yakyu_dad,img/npc/avataaars_27_YOJ.png,#E96117,Baseball Coach Dad,野球好き,I love baseball.,I enjoy teaching baseball.,restaurant,
28,pitch_talk,pitch_talk,img/npc/avataaars_28_PTJ.png,#6EA3E1,Baseball Pitching Guru,ピッチャー,I love talking about pitchers.,Pitchers are my passion.,restaurant,
29,cut_master,cut_master,img/npc/avataaars_29_1000.png,#D7562B,Budget Haircut Evangelist,カットの達人,I am a master of haircuts.,I specialize in haircuts.,restaurant,
30,math_grandpa,math_grandpa,img/npc/avataaars_30_SOJ.png,#EA6DB1,Math-Loving Grandpa,数学マスター,I love math.,Math is my favorite.,restaurant,
31,transport_avoider,transport_avoider,img/npc/avataaars_31_UZU.png,#F94144,Truck Driver with Zero Deliveries,運送業者,運搬予定がない,No transport scheduled.,restaurant,
32,sushi_priority,sushi_priority,img/npc/avataaars_32_KSO.png,#F4A261,Dad Who Loves Sushi More Than Kids,寿司好き,I prefer sushi over my kids.,Sushi comes first.,restaurant,
33,dog_mama,dog_mama,img/npc/avataaars_33_IYM.png,#F9C74F,Tough Dog-Loving Mom,ヤンキーママ,I love dogs.,I am a dog lover.,restaurant,
34,rail_fan,rail_fan,img/npc/avataaars_34_TMA.png,#2A9D8F,Train Sound Enthusiast,鉄道音響ファン,鉄道音響が好き,I love railway sounds.,restaurant,
35,cosplay_kid,cosplay_kid,img/npc/avataaars_35_KEN.png,#EA6DB1,Cosplay Kindergartner,コスプレ好き,I love cosplay.,I enjoy dressing up.,restaurant,
36,electric_bike_girl,electric_bike_girl,img/npc/avataaars_36_DYG.png,#F4A261,Speedy E-Bike Drink Delivery Girl,ヤクルトガール,電動自転車が好き,I love my electric bike.,I enjoy riding my electric bike.,restaurant,
